,device_branch,device_province,device_name,device_ip,device_serial_number,start_ma_date,end_ma_date,start_license_date,end_license_date,end_sw_support_date,end_hw_support_date,start_used_date,user_created
746,VietHai,VietHai,10.39.90.54,10.39.90.54,FCW1837A5DJ,None,None,None,None,2022-10-31,2026-10-31,None,admin
747,VietHai,VietHai,10.39.90.51,10.39.90.51,FCW1824B083,None,None,None,None,2022-10-31,2026-10-31,None,admin
748,VietHai,VietHai,10.39.90.52,10.39.90.52,FOC1834S4HJ,None,None,None,None,2022-10-31,2026-10-31,None,admin
749,VietHai,VietHai,10.39.90.50,10.39.90.50,FOC2137Y36M,None,None,None,None,2022-10-31,2026-10-31,None,admin
750,VietHai,VietHai,10.39.90.46,10.39.90.46,FOC1246X590,None,None,None,None,2015-07-31,2017-07-31,None,admin
751,VietHai,VietHai,10.39.90.47,10.39.90.47,FOC2126Z3G3,None,None,None,None,2025-04-30,2029-04-30,None,admin
752,VietHai,VietHai,10.39.90.66,10.39.90.66,FOC1833Z0NJ,None,None,None,None,2016-05-11,2020-11-30,None,admin
753,VietHai,VietHai,10.39.90.67,10.39.90.67,FCW1852B4DN,None,None,None,None,2022-10-31,2026-10-31,None,admin
754,VietHai,VietHai,10.39.90.70,10.39.90.70,FDO1526K1D0,None,None,None,None,2017-10-30,2021-10-31,None,admin
755,VietHai,VietHai,10.39.90.64,10.39.90.64,FCQ1641X4XJ,None,None,None,None,2015-10-31,2019-10-31,None,admin
756,VietHai,VietHai,10.39.90.65,10.39.90.65,FCQ1641Y4NK,None,None,None,None,2015-10-31,2019-10-31,None,admin
757,VietHai,VietHai,10.39.90.62,10.39.90.62,FCQ1641Y4Q1,None,None,None,None,2015-10-31,2019-10-31,None,admin
758,VietHai,VietHai,10.39.90.63,10.39.90.63,FCQ1641X4XP,None,None,None,None,2015-10-31,2019-10-31,None,admin
759,VietHai,VietHai,10.39.90.61,10.39.90.61,FCQ1641Y4NJ,None,None,None,None,2015-10-31,2019-10-31,None,admin
760,VietHai,VietHai,10.39.90.68,10.39.90.68,FOC1833Z1VY,None,None,None,None,2022-10-31,2026-10-31,None,admin
761,VietHai,VietHai,10.39.90.60,10.39.90.60,FCQ1641Y4LJ,None,None,None,None,2015-10-31,2019-10-31,None,admin
762,VietHai,VietHai,10.39.90.69,10.39.90.69,FOC2126Z3GG,None,None,None,None,2025-04-30,2029-04-30,None,admin
763,VietHai,VietHai,10.39.14.11,10.39.14.11,FCW2301B390,None,None,None,None,2015-10-31,2019-10-31,None,admin
764,VietHai,VietHai,10.39.90.82,10.39.90.82,FOC26284LKL,None,2025-09-26,None,None,None,None,None,admin
765,VietHai,VietHai,10.39.90.83,10.39.90.83,FOC26284KKC,None,2025-09-26,None,None,None,None,None,admin
766,VietHai,VietHai,10.39.90.89,10.39.90.89,FOC26284LB6,None,2025-09-26,None,None,None,None,None,admin
767,VietHai,VietHai,10.39.90.90,10.39.90.90,FOC26284M3R,None,2025-09-26,None,None,None,None,None,admin
768,VietHai,VietHai,10.39.90.87,10.39.90.87,FOC26284LUA,None,2025-09-26,None,None,None,None,None,admin
769,VietHai,VietHai,10.39.90.88,10.39.90.88,FOC26284LKT,None,2025-09-26,None,None,None,None,None,admin
770,VietHai,VietHai,10.39.90.85,10.39.90.85,FOC26284M61,None,2025-09-26,None,None,None,None,None,admin
771,VietHai,VietHai,10.39.90.86,10.39.90.86,FOC26284LHQ,None,2025-09-26,None,None,None,None,None,admin
772,VietHai,VietHai,10.39.90.84,10.39.90.84,FOC26284LH9,None,2025-09-26,None,None,None,None,None,admin
773,VietHai,VietHai,10.39.90.73,10.39.90.73,FOC2126Z3FX,None,None,None,None,2025-04-30,2029-04-30,None,admin
774,VietHai,VietHai,10.39.90.72,10.39.90.72,FOC1446Z727,None,None,None,None,2015-07-31,2017-07-31,None,admin
